id,viral_load,virus,family,day
16Fx18M_I_1,-2.748930957,I,16Fx18M,02/09/16
16Fx18M_O_1,-9.682952719,O,16Fx18M,24/08/16
16Fx18M_O_2,-11.02462547,O,16Fx18M,31/08/16
16Fx32M_I_1,-6.581980642,I,16Fx32M,09/08/16
16Fx32M_I_2,-5.247907374,I,16Fx32M,09/08/16
16Fx32M_O_1,-10.72507287,O,16Fx32M,17/08/16
16Fx7M_M_1,-11.4734573,M,16Fx7M,13/09/16
16Fx7M_M_2,-9.172664978,M,16Fx7M,20/09/16
16Fx86M_I_1,-0.678911305,I,16Fx86M,08/09/16
171Fx93M_O_1,-10.21777715,O,171Fx93M,17/08/16
171Fx93M_O_2,-10.45441316,O,171Fx93M,24/08/16
172Fx86M_I_1,-0.607367834,I,172Fx86M,02/09/16
172Fx86M_O_1,-11.87128798,O,172Fx86M,31/08/16
172Fx86M_O_2,-12.36540852,O,172Fx86M,07/09/16
172Fx93M_O_1,-10.01359737,O,172Fx93M,14/09/16
173Fx155M_M_1,-10.40927014,M,173Fx155M,06/09/16
173Fx48M_I_1,0.294056529,I,173Fx48M,23/08/16
173Fx48M_M_1,-8.764363276,M,173Fx48M,25/08/16
174Fx20M_I_2,-0.342964548,I,174Fx20M,15/09/16
174Fx28M_I_1,0.569708899,I,174Fx28M,02/09/16
174Fx28M_O_1,-12.30060407,O,174Fx28M,31/08/16
174Fx28M_O_2,-11.69468863,O,174Fx28M,07/09/16
174Fx86M_M_1,-9.203690551,M,174Fx86M,13/09/16
174Fx86M_M_2,-7.138393652,M,174Fx86M,20/09/16
175Fx116M_M_1,-9.540386235,M,175Fx116M,16/08/16
175Fx116M_O_1,-11.92841714,O,175Fx116M,10/08/16
175Fx116M_O_2,-10.26865159,O,175Fx116M,17/08/16
175Fx151M_O_1,-11.86089344,O,175Fx151M,10/08/16
175Fx151M_O_2,-11.99779737,O,175Fx151M,17/08/16
175Fx184M_I_1,-0.316960993,I,175Fx184M,09/08/16
175Fx184M_I_2,0.301081354,I,175Fx184M,09/08/16
176Fx73M_O_1,-12.89193065,O,176Fx73M,14/09/16
178Fx121M_O_1,-12.08968291,O,178Fx121M,07/09/16
184Fx126M_I_1,1.549486471,I,184Fx126M,23/08/16
184Fx126M_M_1,-10.52061559,M,184Fx126M,25/08/16
184Fx157M_I_2,-0.047550702,I,184Fx157M,23/08/16
184Fx161M_M_1,-10.50205522,M,184Fx161M,06/09/16
184Fx161M_M_2,-11.51437868,M,184Fx161M,13/09/16
184Fx174M_I_1,-0.649676143,I,184Fx174M,09/08/16
184Fx174M_I_2,0.157622433,I,184Fx174M,09/08/16
184Fx190M_I_1,0.74736415,I,184Fx190M,18/08/16
184Fx190M_I_2,0.010936398,I,184Fx190M,18/08/16
184Fx190M_M_1,-10.00917686,M,184Fx190M,01/09/16
184Fx257M_O_1,-10.68017722,O,184Fx257M,17/08/16
184Fx257M_O_2,-11.67432692,O,184Fx257M,24/08/16
184Fx77M_I_1,0.261911833,I,184Fx77M,02/09/16
184Fx77M_O_1,-11.70254555,O,184Fx77M,31/08/16
184Fx77M_O_2,-11.66459279,O,184Fx77M,07/09/16
184Fx7M_O_1,-11.21866527,O,184Fx7M,31/08/16
184Fx7M_O_2,-10.99203143,O,184Fx7M,07/09/16
184Fx99M_I_1,0.843099596,I,184Fx99M,23/08/16
185Fx114M_M_1,-11.73181269,M,185Fx114M,13/09/16
185Fx141M_I_1,0.01822757,I,185Fx141M,02/09/16
185Fx141M_I_2,0.604529773,I,185Fx141M,08/09/16
185Fx141M_M_2,-13.17616819,M,185Fx141M,13/09/16
185Fx151M_M_1,-12.47512943,M,185Fx151M,01/09/16
185Fx153M_I_2,0.741630553,I,185Fx153M,23/08/16
185Fx158M_I_1,-0.080713064,I,185Fx158M,08/09/16
185Fx166M_I_1,0.920124622,I,185Fx166M,18/08/16
185Fx166M_M_1,-9.94393686,M,185Fx166M,11/08/16
185Fx166M_M_2,-10.48706585,M,185Fx166M,16/08/16
185Fx16M_M_1,-11.62233757,M,185Fx16M,25/08/16
185Fx16M_O_1,-9.833283829,O,185Fx16M,24/08/16
185Fx16M_O_2,-7.749583397,O,185Fx16M,31/08/16
185Fx200M_I_1,1.12872445,I,185Fx200M,15/09/16
185Fx234M_I_1,0.626166133,I,185Fx234M,18/08/16
185Fx234M_I_1,0.626166133,I,185Fx234M,23/08/16
185Fx234M_I_2,0.644360758,I,185Fx234M,23/08/16
185Fx234M_M_1,-10.73166315,M,185Fx234M,11/08/16
185Fx234M_M_2,-10.11951327,M,185Fx234M,16/08/16
185Fx239M_I_1,-0.108659508,I,185Fx239M,18/08/16
185Fx239M_M_1,-11.34592201,M,185Fx239M,11/08/16
185Fx239M_M_2,-10.66387438,M,185Fx239M,16/08/16
